starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 10 12:01:59 2021	1639112519	58	677	736	673
Fri Dec 10 12:02:46 2021	1639112566	0	3139	3139	3138
Fri Dec 10 12:01:59 2021	1639112519	31	3670	3700	3299
Fri Dec 10 12:02:42 2021	1639112562	0	3815	3815	3593
Fri Dec 10 12:01:59 2021	1639112519	31	3907	3938	3905
Fri Dec 10 12:03:44 2021	1639112624	1	4002	4003	4002
Fri Dec 10 12:04:09 2021	1639112649	0	4003	4004	4003
Fri Dec 10 12:04:10 2021	1639112650	0	4004	4005	4004
Fri Dec 10 12:04:10 2021	1639112650	0	4005	4005	4005
Fri Dec 10 12:03:55 2021	1639112635	1	4004	4006	4004
Fri Dec 10 12:03:44 2021	1639112624	1	4006	4006	4005
Fri Dec 10 12:03:11 2021	1639112591	4	4003	4006	4002
Fri Dec 10 12:03:44 2021	1639112624	1	4006	4007	4006
Fri Dec 10 12:03:27 2021	1639112607	1	4006	4007	4005
Fri Dec 10 12:03:44 2021	1639112624	1	4006	4008	4006
Fri Dec 10 12:03:44 2021	1639112624	1	4007	4008	4007
Fri Dec 10 12:03:27 2021	1639112607	2	4006	4008	4005
Fri Dec 10 12:03:44 2021	1639112624	1	4008	4008	4007
Fri Dec 10 12:03:27 2021	1639112607	2	4006	4008	4005
Fri Dec 10 12:03:44 2021	1639112624	2	4006	4008	4006
Fri Dec 10 12:03:44 2021	1639112624	1	4007	4008	4007
Fri Dec 10 12:03:17 2021	1639112597	0	4008	4008	4008
Fri Dec 10 12:03:44 2021	1639112624	1	4008	4009	4007
Fri Dec 10 12:03:14 2021	1639112594	0	4009	4009	4009
Fri Dec 10 12:03:17 2021	1639112597	2	4008	4010	4006
Fri Dec 10 12:03:11 2021	1639112591	4	4006	4010	4003
Fri Dec 10 12:03:52 2021	1639112632	0	4010	4010	4009
Fri Dec 10 12:03:47 2021	1639112627	0	4010	4010	4010
Fri Dec 10 12:04:09 2021	1639112649	0	4010	4010	4010
Fri Dec 10 12:03:52 2021	1639112632	0	4010	4011	4009
Fri Dec 10 12:03:48 2021	1639112628	0	4010	4011	4010
Fri Dec 10 12:03:11 2021	1639112591	6	4005	4011	4004
Fri Dec 10 12:03:33 2021	1639112613	1	4010	4011	4010
Fri Dec 10 12:03:52 2021	1639112632	0	4011	4011	4010
Fri Dec 10 12:03:33 2021	1639112613	1	4011	4011	4010
Fri Dec 10 12:03:23 2021	1639112603	1	4010	4012	4010
Fri Dec 10 12:03:14 2021	1639112594	1	4011	4012	4011
Fri Dec 10 12:03:26 2021	1639112606	1	4011	4012	4011
Fri Dec 10 12:03:23 2021	1639112603	2	4010	4012	4010
Fri Dec 10 12:03:11 2021	1639112591	4	4008	4012	4006
Fri Dec 10 12:03:27 2021	1639112607	7	4005	4012	4005
Fri Dec 10 12:03:11 2021	1639112591	5	4008	4013	4007
Fri Dec 10 12:03:19 2021	1639112599	1	4011	4013	4011
Fri Dec 10 12:03:15 2021	1639112595	0	4013	4013	4011
Fri Dec 10 12:03:23 2021	1639112603	2	4011	4013	4010
Fri Dec 10 12:03:26 2021	1639112606	1	4012	4013	4011
Fri Dec 10 12:03:14 2021	1639112594	1	4012	4013	4011
Fri Dec 10 12:03:36 2021	1639112616	0	4013	4013	4012
Fri Dec 10 12:03:48 2021	1639112628	0	4013	4013	4012
Fri Dec 10 12:04:10 2021	1639112650	5	4008	4013	4007
Fri Dec 10 12:03:48 2021	1639112628	0	4013	4013	4012
Fri Dec 10 12:03:48 2021	1639112628	0	4013	4013	4011
Fri Dec 10 12:04:10 2021	1639112650	0	4013	4013	4004
Fri Dec 10 12:03:14 2021	1639112594	1	4012	4013	4011
Fri Dec 10 12:03:11 2021	1639112591	7	4006	4013	4005
Fri Dec 10 12:03:48 2021	1639112628	0	4013	4013	4013
Fri Dec 10 12:03:33 2021	1639112613	2	4012	4013	4011
Fri Dec 10 12:03:33 2021	1639112613	1	4012	4013	4010
Fri Dec 10 12:03:14 2021	1639112594	1	4012	4014	4011
Fri Dec 10 12:03:33 2021	1639112613	1	4012	4014	4010
Fri Dec 10 12:03:11 2021	1639112591	7	4006	4014	4005
Fri Dec 10 12:03:23 2021	1639112603	3	4011	4014	4010
Fri Dec 10 12:03:14 2021	1639112594	1	4013	4014	4011
Fri Dec 10 12:04:10 2021	1639112650	6	4008	4014	4007
Fri Dec 10 12:04:10 2021	1639112650	0	4013	4014	4013
Fri Dec 10 12:03:11 2021	1639112591	6	4007	4014	4005
Fri Dec 10 12:04:10 2021	1639112650	6	4008	4014	4008
Fri Dec 10 12:03:48 2021	1639112628	1	4013	4014	4013
Fri Dec 10 12:03:18 2021	1639112598	1	4013	4014	4013
Fri Dec 10 12:04:10 2021	1639112650	6	4008	4014	4008
Fri Dec 10 12:03:48 2021	1639112628	0	4014	4014	4013
Fri Dec 10 12:03:48 2021	1639112628	1	4013	4014	4013
Fri Dec 10 12:04:10 2021	1639112650	6	4008	4014	4007
Fri Dec 10 12:04:10 2021	1639112650	1	4014	4014	4013
Fri Dec 10 12:03:11 2021	1639112591	8	4007	4014	4005
Fri Dec 10 12:03:18 2021	1639112598	1	4014	4014	4013
Fri Dec 10 12:04:10 2021	1639112650	6	4009	4014	4008
Fri Dec 10 12:03:11 2021	1639112591	7	4008	4015	4005
Fri Dec 10 12:03:28 2021	1639112608	2	4013	4015	4013
Fri Dec 10 12:03:29 2021	1639112609	2	4013	4015	4013
Fri Dec 10 12:03:27 2021	1639112607	9	4006	4015	4005
Fri Dec 10 12:03:11 2021	1639112591	7	4008	4015	4005
Fri Dec 10 12:03:18 2021	1639112598	1	4014	4015	4013
Fri Dec 10 12:03:27 2021	1639112607	9	4006	4015	4005
Fri Dec 10 12:03:41 2021	1639112621	0	4015	4015	4015
Fri Dec 10 12:04:10 2021	1639112650	6	4009	4015	4008
Fri Dec 10 12:03:52 2021	1639112632	0	4015	4015	4015
Fri Dec 10 12:03:18 2021	1639112598	2	4014	4015	4013
Fri Dec 10 12:04:10 2021	1639112650	6	4009	4015	4008
Fri Dec 10 12:03:11 2021	1639112591	6	4009	4016	4007
Fri Dec 10 12:03:38 2021	1639112618	0	4015	4016	4015
Fri Dec 10 12:03:18 2021	1639112598	2	4014	4016	4013
Fri Dec 10 12:03:48 2021	1639112628	0	4016	4016	4016
Fri Dec 10 12:03:27 2021	1639112607	10	4006	4016	4005
Fri Dec 10 12:03:11 2021	1639112591	7	4009	4016	4007
Fri Dec 10 12:03:45 2021	1639112625	1	4015	4016	4015
Fri Dec 10 12:03:29 2021	1639112609	2	4014	4016	4013
Fri Dec 10 12:03:41 2021	1639112621	1	4016	4016	4016
Fri Dec 10 12:03:52 2021	1639112632	1	4015	4016	4015
Fri Dec 10 12:03:11 2021	1639112591	1	4016	4017	4016
Fri Dec 10 12:03:41 2021	1639112621	1	4016	4017	4016
Fri Dec 10 12:03:52 2021	1639112632	1	4016	4017	4015
Fri Dec 10 12:03:15 2021	1639112595	1	4016	4017	4015
Fri Dec 10 12:03:47 2021	1639112627	1	4016	4017	4016
Fri Dec 10 12:03:35 2021	1639112615	1	4017	4017	4016
Fri Dec 10 12:03:18 2021	1639112598	0	4017	4017	4017
Fri Dec 10 12:03:35 2021	1639112615	0	4017	4017	4016
Fri Dec 10 12:03:14 2021	1639112594	1	4017	4018	4016
Fri Dec 10 12:03:11 2021	1639112591	1	4017	4018	4016
Fri Dec 10 12:04:02 2021	1639112642	2	4016	4018	4015
Fri Dec 10 12:03:27 2021	1639112607	11	4006	4018	4006
Fri Dec 10 12:03:52 2021	1639112632	1	4017	4018	4016
Fri Dec 10 12:03:11 2021	1639112591	1	4017	4018	4016
Fri Dec 10 12:03:52 2021	1639112632	2	4016	4018	4015
Fri Dec 10 12:03:51 2021	1639112631	1	4017	4018	4016
Fri Dec 10 12:03:32 2021	1639112612	4	4014	4018	4013
Fri Dec 10 12:03:47 2021	1639112627	1	4017	4018	4016
Fri Dec 10 12:03:51 2021	1639112631	1	4017	4018	4017
Fri Dec 10 12:03:47 2021	1639112627	1	4017	4018	4016
Fri Dec 10 12:03:49 2021	1639112629	0	4018	4018	4018
Fri Dec 10 12:04:02 2021	1639112642	2	4016	4018	4016
Fri Dec 10 12:04:05 2021	1639112645	0	4018	4018	4018
Fri Dec 10 12:03:47 2021	1639112627	1	4018	4018	4016
Fri Dec 10 12:03:45 2021	1639112625	0	4019	4019	4018
Fri Dec 10 12:03:35 2021	1639112615	1	4018	4019	4017
Fri Dec 10 12:03:35 2021	1639112615	1	4018	4019	4017
Fri Dec 10 12:03:15 2021	1639112595	2	4018	4019	4016
Fri Dec 10 12:03:35 2021	1639112615	1	4019	4020	4017
Fri Dec 10 12:03:35 2021	1639112615	1	4019	4020	4017
Fri Dec 10 12:03:27 2021	1639112607	14	4006	4020	4006
Fri Dec 10 12:03:15 2021	1639112595	3	4017	4020	4016
Fri Dec 10 12:03:35 2021	1639112615	1	4019	4020	4017
Fri Dec 10 12:03:11 2021	1639112591	11	4009	4020	4008
Fri Dec 10 12:03:35 2021	1639112615	1	4019	4020	4017
Fri Dec 10 12:03:33 2021	1639112613	0	4019	4020	4019
Fri Dec 10 12:03:15 2021	1639112595	3	4017	4020	4016
Fri Dec 10 12:03:29 2021	1639112609	0	4020	4020	4019
Fri Dec 10 12:03:35 2021	1639112615	1	4019	4020	4017
Fri Dec 10 12:03:51 2021	1639112631	1	4019	4020	4017
Fri Dec 10 12:04:10 2021	1639112650	0	4020	4020	4019
Fri Dec 10 12:03:51 2021	1639112631	1	4019	4020	4017
