starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 10 11:55:21 2021	1639112121	104	625	729	622
Fri Dec 10 11:57:51 2021	1639112271	38	3007	3046	3006
Fri Dec 10 11:57:51 2021	1639112271	37	3009	3046	3008
Fri Dec 10 11:57:51 2021	1639112271	38	3008	3046	3007
Fri Dec 10 11:57:51 2021	1639112271	39	3008	3047	3006
Fri Dec 10 11:57:51 2021	1639112271	39	3008	3047	3006
Fri Dec 10 11:57:51 2021	1639112271	39	3008	3047	3006
Fri Dec 10 11:57:51 2021	1639112271	39	3012	3050	3012
Fri Dec 10 11:57:51 2021	1639112271	39	3012	3051	3012
Fri Dec 10 11:57:51 2021	1639112271	38	3062	3100	3062
Fri Dec 10 11:57:51 2021	1639112271	38	3067	3105	3066
Fri Dec 10 11:57:51 2021	1639112271	39	3088	3127	3088
Fri Dec 10 11:57:51 2021	1639112271	38	3088	3127	3088
Fri Dec 10 11:57:51 2021	1639112271	38	3089	3127	3088
Fri Dec 10 11:57:51 2021	1639112271	39	3089	3128	3088
Fri Dec 10 11:57:51 2021	1639112271	39	3090	3129	3088
Fri Dec 10 11:57:51 2021	1639112271	39	3091	3129	3088
Fri Dec 10 11:57:51 2021	1639112271	39	3091	3130	3088
Fri Dec 10 11:57:51 2021	1639112271	39	3091	3130	3088
Fri Dec 10 11:57:51 2021	1639112271	39	3092	3131	3088
Fri Dec 10 11:57:51 2021	1639112271	38	3095	3134	3072
Fri Dec 10 11:57:58 2021	1639112278	4	3139	3143	3138
Fri Dec 10 11:57:58 2021	1639112278	4	3143	3147	3139
Fri Dec 10 11:57:58 2021	1639112278	2	3146	3148	3143
Fri Dec 10 11:57:58 2021	1639112278	4	3145	3149	3145
Fri Dec 10 11:57:58 2021	1639112278	4	3149	3153	3149
Fri Dec 10 11:57:58 2021	1639112278	5	3149	3153	3146
Fri Dec 10 11:57:58 2021	1639112278	4	3150	3154	3149
Fri Dec 10 11:55:18 2021	1639112118	54	3627	3681	3431
Fri Dec 10 11:58:24 2021	1639112304	0	4006	4006	4006
Fri Dec 10 11:58:33 2021	1639112313	0	4006	4007	4006
Fri Dec 10 11:57:00 2021	1639112220	0	4008	4008	4008
Fri Dec 10 11:58:24 2021	1639112304	0	4009	4009	4009
Fri Dec 10 11:58:24 2021	1639112304	0	4009	4009	4009
Fri Dec 10 11:57:00 2021	1639112220	1	4008	4010	4008
Fri Dec 10 11:57:00 2021	1639112220	1	4009	4010	4008
Fri Dec 10 11:57:00 2021	1639112220	1	4009	4010	4008
Fri Dec 10 11:57:00 2021	1639112220	0	4010	4010	4008
